"A�o","Mes","Fecha_Pub_DOF","Clave ciudad","Nombre ciudad","Divisi�n","Grupo","Clase","Subclase","Clave gen�rico","Gen�rico","Consecutivo","Especificaci�n","Precio promedio","Cantidad","Unidad","Estatus"
"2020","04","18/05/2020 12:00:00 a. m.","34","Cortazar, Gto.","7. Educaci�n y esparcimiento","7.2. Esparcimiento","7.2.1. Servicios de esparcimiento","71 Otros servicios de esparcimiento","236","Servicio de internet","002","SM, CAF� INTERNET, RENTA DE EQUIPO POR HR","14","1","RENTA",""
"2020","04","18/05/2020 12:00:00 a. m.","35","Jim�nez, Chih.","7. Educaci�n y esparcimiento","7.2. Esparcimiento","7.2.1. Servicios de esparcimiento","71 Otros servicios de esparcimiento","236","Servicio de internet","001","TELMEX, PAQUETE, INTERNET, HASTA 30 MB","499","1","SERV",""
"2020","04","18/05/2020 12:00:00 a. m.","35","Jim�nez, Chih.","7. Educaci�n y esparcimiento","7.2. Esparcimiento","7.2.1. Servicios de esparcimiento","71 Otros servicios de esparcimiento","236","Servicio de internet","002","IZZI, INTERNET, 20 MEGAS","350","1","SERV",""
"2020","04","18/05/2020 12:00:00 a. m.","36","Durango, Dgo.","7. Educaci�n y esparcimiento","7.2. Esparcimiento","7.2.1. Servicios de esparcimiento","71 Otros servicios de esparcimiento","236","Servicio de internet","001","INTERNET, RENTA POR HORA","12","1","SERV",""
"2020","04","18/05/2020 12:00:00 a. m.","37","Tepic, Nay.","7. Educaci�n y esparcimiento","7.2. Esparcimiento","7.2.1. Servicios de esparcimiento","71 Otros servicios de esparcimiento","236","Servicio de internet","001","CAFE INTERNET, POR HORA","12","1","RENTA",""
"2020","04","18/05/2020 12:00:00 a. m.","38","Oaxaca, Oax.","7. Educaci�n y esparcimiento","7.2. Esparcimiento","7.2.1. Servicios de esparcimiento","71 Otros servicios de esparcimiento","236","Servicio de internet","001","AT & T, INTERNET, RENTA MENSUAL, 35 GB","399","1","SERV",""
"2020","04","18/05/2020 12:00:00 a. m.","38","Oaxaca, Oax.","7. Educaci�n y esparcimiento","7.2. Esparcimiento","7.2.1. Servicios de esparcimiento","71 Otros servicios de esparcimiento","236","Servicio de internet","002","TELCEL, SERV DE INTERNET, P/PORTATIL, 5 GB, MENSUAL","569","1","RENTA",""
"2020","04","18/05/2020 12:00:00 a. m.","39","Quer�taro, Qro.","7. Educaci�n y esparcimiento","7.2. Esparcimiento","7.2.1. Servicios de esparcimiento","71 Otros servicios de esparcimiento","236","Servicio de internet","001","CAFE INTERNET, RENTA POR HORA","10","1","SERV",""
"2020","04","18/05/2020 12:00:00 a. m.","39","Quer�taro, Qro.","7. Educaci�n y esparcimiento","7.2. Esparcimiento","7.2.1. Servicios de esparcimiento","71 Otros servicios de esparcimiento","236","Servicio de internet","002","INTERNET, RENTA POR HORA","15","1","SERV",""
"2020","04","18/05/2020 12:00:00 a. m.","40","Cuernavaca, Mor.","7. Educaci�n y esparcimiento","7.2. Esparcimiento","7.2.1. Servicios de esparcimiento","71 Otros servicios de esparcimiento","236","Servicio de internet","001","CAFE INTERNET, RENTA, POR HORA","10","1","HORA",""
