Anio,Mes,Clave ciudad,limon,leche,camaron,tortillas,electricidad,alquiler,frijol,pollo,Fecha,suma,categoria,Season
2021,9,13,15.9,17.9,200.0,19.0,351.68,110.16,30.0,69.9,2021-09-01,814.54,3,4
2021,9,14,35.13,24.5,237.68,16.0,460.22,103.81,25.33,72.5,2021-09-01,975.17,1,4
2021,9,15,33.15,24.5,251.15,19.0,213.15,107.41,38.75,82.6,2021-09-01,769.71,3,4
2021,9,16,9.88,16.05,329.0,23.0,213.15,105.72,38.0,71.25,2021-09-01,806.0500000000001,2,4
2021,9,17,38.4,23.0,285.5,20.0,167.82,101.75,40.0,100.0,2021-09-01,776.47,2,4
2021,9,18,33.0,29.65,289.0,22.0,213.15,106.32,34.44,28.75,2021-09-01,756.31,3,4
2021,9,19,39.15,22.0,305.0,20.0,209.53,111.47,31.9,143.4,2021-09-01,882.4499999999999,2,4
2021,9,20,38.9,17.7,260.0,12.5,167.82,107.52,31.9,31.4,2021-09-01,667.74,3,4
2021,9,21,36.4,27.0,200.5,25.0,209.53,106.77,46.99,139.9,2021-09-01,792.0899999999999,3,4
2021,9,22,33.15,23.5,180.0,15.0,460.22,105.6,34.62,65.0,2021-09-01,917.09,2,4
2021,9,23,38.9,19.0,365.0,20.0,460.22,105.23,25.0,89.9,2021-09-01,1123.25,1,4
2021,9,24,32.9,24.6,255.0,22.0,428.48,114.48,43.63,129.8,2021-09-01,1050.89,1,4
2021,9,25,29.35,24.6,242.25,21.0,195.08,108.0,31.67,28.5,2021-09-01,680.4499999999999,3,4
2021,9,26,19.0,14.0,250.0,19.0,216.78,104.38,40.91,120.0,2021-09-01,784.0699999999999,3,4
2021,9,27,39.7,21.88,236.0,23.0,167.82,105.6,40.3,67.9,2021-09-01,702.1999999999999,3,4
2021,9,28,24.23,24.5,269.0,20.0,198.45,105.62,33.0,65.0,2021-09-01,739.8000000000001,2,4
2021,9,29,34.6,21.4,189.0,23.0,460.22,112.47,36.17,100.0,2021-09-01,976.86,1,4
2021,9,30,16.0,47.5,265.0,17.0,460.22,106.74,25.0,103.2,2021-09-01,1040.66,1,4
2021,9,31,33.65,22.68,191.25,25.0,213.15,107.64,38.63,39.53,2021-09-01,671.53,3,4
2021,9,32,38.9,19.05,191.99,23.0,167.82,105.63,66.33,70.5,2021-09-01,683.22,3,4
2021,9,33,46.4,21.33,180.0,18.0,460.22,104.33,41.39,75.0,2021-09-01,946.6700000000001,2,4
2021,9,34,34.43,20.15,240.0,20.0,460.22,104.03,30.0,80.0,2021-09-01,988.8299999999999,1,4
